# LIBERO-plus per-seed detail for Omega-QVLA W4A4 (all 21 axis-seed cells).
# sr = success rate (%). gap = fp16 - w4a4. ci = episode-level 95% Wilson CI on the gap.
# NOTE: episode-level CIs are ANTI-CONSERVATIVE (episodes cluster by ~10 base tasks/axis).
axis,n_per_arm,seed,fp16_sr,w4a4_sr,gap,ci_low,ci_high
background,258,0,99.6,100.0,-0.4,-2.2,1.1
background,258,1,99.2,98.8,0.4,-1.8,2.7
background,258,2,100.0,98.4,1.6,-0.2,3.9
camera,376,0,74.2,73.7,0.5,-5.7,6.8
camera,376,1,71.8,73.7,-1.9,-8.2,4.5
camera,376,2,74.5,74.5,0.0,-6.2,6.2
language,390,0,95.4,95.6,-0.3,-3.3,2.8
language,390,1,96.7,96.7,0.0,-2.7,2.7
language,390,2,94.6,96.2,-1.5,-4.6,1.5
layout,385,0,98.2,97.4,0.8,-1.4,3.1
layout,385,1,98.4,97.9,0.5,-1.5,2.7
layout,385,2,99.0,98.2,0.8,-1.1,2.8
light,292,0,99.3,99.3,0.0,-1.8,1.8
light,292,1,98.3,99.0,-0.7,-3.0,1.5
light,292,2,98.3,99.7,-1.4,-3.6,0.5
robot_initial,350,0,87.4,86.0,1.4,-3.6,6.5
robot_initial,350,1,84.0,84.9,-0.9,-6.3,4.5
robot_initial,350,2,83.7,83.4,0.3,-5.2,5.8
sensor_noise,351,0,92.6,86.9,5.7,1.2,10.3
sensor_noise,351,1,91.7,89.2,2.6,-1.8,7.0
sensor_noise,351,2,90.0,88.9,1.1,-3.5,5.7
